alcaldia,sexo,rango_edad,poblacion
XOCHIMILCO,Hombre,e) 20 a 24 años,18639
XOCHIMILCO,Hombre,f) 25 a 29 años,18611
XOCHIMILCO,Hombre,g) 30 a 34 años,16996
XOCHIMILCO,Hombre,h) 35 a 39 años,16200
XOCHIMILCO,Hombre,i) 40 a 44 años,15197
XOCHIMILCO,Hombre,j) 45 a 49 años,14723
XOCHIMILCO,Hombre,k) 50 a 54 años,13621
XOCHIMILCO,Hombre,l) 55 a 59 años,11090
XOCHIMILCO,Hombre,m) 60 a 64 años,9360
XOCHIMILCO,Hombre,n) 65 a 69 años,6846
XOCHIMILCO,Hombre,o) 70 a 74 años,4882
XOCHIMILCO,Hombre,p) 75 a 79 años,3048
XOCHIMILCO,Hombre,q) 80 a 84 años,1729
XOCHIMILCO,Hombre,r) 85 años y más,1407
XOCHIMILCO,Mujer,a) 0 a 4 años,12350
XOCHIMILCO,Mujer,b) 5 a 9 años,15183
XOCHIMILCO,Mujer,c) 10 a 14 años,16249
XOCHIMILCO,Mujer,d) 15 a 19 años,17223
XOCHIMILCO,Mujer,e) 20 a 24 años,18340
XOCHIMILCO,Mujer,f) 25 a 29 años,17952
XOCHIMILCO,Mujer,g) 30 a 34 años,17296
XOCHIMILCO,Mujer,h) 35 a 39 años,17080
XOCHIMILCO,Mujer,i) 40 a 44 años,16589
XOCHIMILCO,Mujer,j) 45 a 49 años,16376
XOCHIMILCO,Mujer,k) 50 a 54 años,15514
XOCHIMILCO,Mujer,l) 55 a 59 años,12753
XOCHIMILCO,Mujer,m) 60 a 64 años,10934
XOCHIMILCO,Mujer,n) 65 a 69 años,8099
XOCHIMILCO,Mujer,o) 70 a 74 años,5993
XOCHIMILCO,Mujer,p) 75 a 79 años,3746
XOCHIMILCO,Mujer,q) 80 a 84 años,2506
XOCHIMILCO,Mujer,r) 85 años y más,2437
BENITO JUAREZ,Hombre,a) 0 a 4 años,8451
BENITO JUAREZ,Hombre,b) 5 a 9 años,8641
BENITO JUAREZ,Hombre,c) 10 a 14 años,8962
BENITO JUAREZ,Hombre,d) 15 a 19 años,9563
BENITO JUAREZ,Hombre,e) 20 a 24 años,12351
BENITO JUAREZ,Hombre,f) 25 a 29 años,17844
BENITO JUAREZ,Hombre,g) 30 a 34 años,21909
BENITO JUAREZ,Hombre,h) 35 a 39 años,21123
BENITO JUAREZ,Hombre,i) 40 a 44 años,17613
BENITO JUAREZ,Hombre,j) 45 a 49 años,15941
BENITO JUAREZ,Hombre,k) 50 a 54 años,13181
BENITO JUAREZ,Hombre,l) 55 a 59 años,11800
BENITO JUAREZ,Hombre,m) 60 a 64 años,10937
BENITO JUAREZ,Hombre,n) 65 a 69 años,8583
BENITO JUAREZ,Hombre,o) 70 a 74 años,6472
BENITO JUAREZ,Hombre,p) 75 a 79 años,4031
BENITO JUAREZ,Hombre,q) 80 a 84 años,2584
BENITO JUAREZ,Hombre,r) 85 años y más,2122
BENITO JUAREZ,Mujer,a) 0 a 4 años,8191
BENITO JUAREZ,Mujer,b) 5 a 9 años,8428
BENITO JUAREZ,Mujer,c) 10 a 14 años,8570
BENITO JUAREZ,Mujer,d) 15 a 19 años,9407
BENITO JUAREZ,Mujer,e) 20 a 24 años,12760
BENITO JUAREZ,Mujer,f) 25 a 29 años,19331
BENITO JUAREZ,Mujer,g) 30 a 34 años,23278
BENITO JUAREZ,Mujer,h) 35 a 39 años,21844
BENITO JUAREZ,Mujer,i) 40 a 44 años,19236
BENITO JUAREZ,Mujer,j) 45 a 49 años,17590
BENITO JUAREZ,Mujer,k) 50 a 54 años,15844
BENITO JUAREZ,Mujer,l) 55 a 59 años,14913
BENITO JUAREZ,Mujer,m) 60 a 64 años,14814
BENITO JUAREZ,Mujer,n) 65 a 69 años,11850
BENITO JUAREZ,Mujer,o) 70 a 74 años,9617
BENITO JUAREZ,Mujer,p) 75 a 79 años,6395
BENITO JUAREZ,Mujer,q) 80 a 84 años,4764
BENITO JUAREZ,Mujer,r) 85 años y más,5175
